[05 Dec 2019 21:49:53,118] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:555)  | 555   | waitForElement       | base.CustomDriver         | - Element appeared on the web page
[05 Dec 2019 21:49:53,228] | ERROR | main  | local.cistest.vmdcs.base.CustomDriver.elementClick(CustomDriver.java:189)    | 189   | elementClick         | base.CustomDriver         | - Cannot click on :: Click on 'Login' button
[05 Dec 2019 21:49:53,233] | INFO  | main  | local.cistest.vmdcs.utilities.Util.getCurrentDateTime(Util.java:128)         | 128   | getCurrentDateTime   | utilities.Util            | - Date and Time :: 12_05_2019 21_49_53
[05 Dec 2019 21:49:53,886] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.takeScreenshot(CustomDriver.java:693)  | 693   | takeScreenshot       | base.CustomDriver         | - Screen Shot Was Stored at: C:\MyCareerV2//test-output/screenshots//_Click ERROR_12_05_2019 21_49_53.png
[05 Dec 2019 21:50:31,020] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:81) | 81    | setDriver            | base.WebDriverFactory     | - OS Name from system property :: win
[05 Dec 2019 21:50:31,030] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:100) | 100   | setDriver            | base.WebDriverFactory     | - Driver Binary :: C:\MyCareerV2//drivers//chromedriver.exe
[05 Dec 2019 21:50:36,458] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:551)  | 551   | waitForElement       | base.CustomDriver         | - Waiting for max:: 5 seconds for element to be available
[05 Dec 2019 21:50:36,548] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:555)  | 555   | waitForElement       | base.CustomDriver         | - Element appeared on the web page
[05 Dec 2019 21:50:36,718] | ERROR | main  | local.cistest.vmdcs.base.CustomDriver.elementClick(CustomDriver.java:189)    | 189   | elementClick         | base.CustomDriver         | - Cannot click on :: Click on 'Login' button
[05 Dec 2019 21:50:36,723] | INFO  | main  | local.cistest.vmdcs.utilities.Util.getCurrentDateTime(Util.java:128)         | 128   | getCurrentDateTime   | utilities.Util            | - Date and Time :: 12_05_2019 21_50_36
[05 Dec 2019 21:50:37,399] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.takeScreenshot(CustomDriver.java:693)  | 693   | takeScreenshot       | base.CustomDriver         | - Screen Shot Was Stored at: C:\MyCareerV2//test-output/screenshots//_Click ERROR_12_05_2019 21_50_36.png
[05 Dec 2019 21:51:36,267] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:81) | 81    | setDriver            | base.WebDriverFactory     | - OS Name from system property :: win
[05 Dec 2019 21:51:36,282] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:100) | 100   | setDriver            | base.WebDriverFactory     | - Driver Binary :: C:\MyCareerV2//drivers//chromedriver.exe
[05 Dec 2019 21:51:41,363] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:551)  | 551   | waitForElement       | base.CustomDriver         | - Waiting for max:: 5 seconds for element to be available
[05 Dec 2019 21:51:41,470] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:555)  | 555   | waitForElement       | base.CustomDriver         | - Element appeared on the web page
[05 Dec 2019 21:51:41,508] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.javascriptClick(CustomDriver.java:253) | 253   | javascriptClick      | base.CustomDriver         | - Clicked on :: Click on 'Login' button
[05 Dec 2019 21:53:28,060] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:81) | 81    | setDriver            | base.WebDriverFactory     | - OS Name from system property :: win
[05 Dec 2019 21:53:28,070] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:100) | 100   | setDriver            | base.WebDriverFactory     | - Driver Binary :: C:\MyCareerV2//drivers//chromedriver.exe
[05 Dec 2019 21:53:34,038] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:551)  | 551   | waitForElement       | base.CustomDriver         | - Waiting for max:: 5 seconds for element to be available
[05 Dec 2019 21:53:34,149] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:555)  | 555   | waitForElement       | base.CustomDriver         | - Element appeared on the web page
[05 Dec 2019 21:53:34,193] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.javascriptClick(CustomDriver.java:253) | 253   | javascriptClick      | base.CustomDriver         | - Clicked on :: Click on 'Login' button
[05 Dec 2019 21:54:22,493] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:81) | 81    | setDriver            | base.WebDriverFactory     | - OS Name from system property :: win
[05 Dec 2019 21:54:22,504] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:100) | 100   | setDriver            | base.WebDriverFactory     | - Driver Binary :: C:\MyCareerV2//drivers//chromedriver.exe
[05 Dec 2019 21:55:34,302] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:81) | 81    | setDriver            | base.WebDriverFactory     | - OS Name from system property :: win
[05 Dec 2019 21:55:34,314] | INFO  | main  | local.cistest.vmdcs.base.WebDriverFactory.setDriver(WebDriverFactory.java:100) | 100   | setDriver            | base.WebDriverFactory     | - Driver Binary :: C:\MyCareerV2//drivers//chromedriver.exe
[05 Dec 2019 21:55:39,649] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:551)  | 551   | waitForElement       | base.CustomDriver         | - Waiting for max:: 5 seconds for element to be available
[05 Dec 2019 21:55:39,758] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.waitForElement(CustomDriver.java:555)  | 555   | waitForElement       | base.CustomDriver         | - Element appeared on the web page
[05 Dec 2019 21:55:39,800] | INFO  | main  | local.cistest.vmdcs.base.CustomDriver.javascriptClick(CustomDriver.java:253) | 253   | javascriptClick      | base.CustomDriver         | - Clicked on :: Click on 'Login' button
